"initial data","nodes number","f1"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","6","0.5"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","1.0"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","1.0"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
"A","9","0.7499999999999999"
